mnemonics,label
TENS,CABLE TENSION
BIT,BIT SIZE
ACAL,CALIPER
C1,CALIPER
C13,CALIPER
C13A,CALIPER
C13-A,CALIPER
C13H,CALIPER
C13I,CALIPER
C13L,CALIPER
C13M,CALIPER
C13P,CALIPER
C13Z,CALIPER
C2,CALIPER
C24,CALIPER
C24A,CALIPER
C24-A,CALIPER
C24H,CALIPER
C24I,CALIPER
C24L,CALIPER
C24M,CALIPER
C24P,CALIPER
C24Z,CALIPER
CA,CALIPER
CA1,CALIPER
CA2,CALIPER
CADE,CALIPER
CADF,CALIPER
CAL,CALIPER
CAL1,CALIPER
CAL2,CALIPER
CAL3,CALIPER
CALA,CALIPER
CAL-A,CALIPER
CALD,CALIPER
CALE,CALIPER
CALH,CALIPER
CALI,CALIPER
CALIPER,CALIPER
CALI_SPCS,CALIPER
CALL,CALIPER
CALM,CALIPER
CALN,CALIPER
CALP,CALIPER
CALS,CALIPER
CALT,CALIPER
CALX,CALIPER
CALX-A,CALIPER
CALXH,CALIPER
CALXM,CALIPER
CALX-ML,CALIPER
CALXQ8,CALIPER
CALXQH,CALIPER
CALX-R,CALIPER
CALY,CALIPER
CALY-A,CALIPER
CALYH,CALIPER
CALYM,CALIPER
CALY-ML,CALIPER
CALYQ8,CALIPER
CALYQH,CALIPER
CALZ,CALIPER
CANC,CALIPER
CAPD,CALIPER
CAX,CALIPER
CAY,CALIPER
CLCM,CALIPER
CLDC,CALIPER
CLDM,CALIPER
CLLO,CALIPER
CLTC,CALIPER
CLXC,CALIPER
CLYC,CALIPER
CQLI,CALIPER
DCAL,CALIPER
HCAL,CALIPER
HCAL2,CALIPER
HCALI,CALIPER
HCALX,CALIPER
HCALY,CALIPER
HD,CALIPER
HD_1,CALIPER
HD1,CALIPER
HD2,CALIPER
HD3,CALIPER
HDAR,CALIPER
HDIA,CALIPER
HDMI,CALIPER
HDMN,CALIPER
HDMX,CALIPER
HLCA,CALIPER
LCAL,CALIPER
MCAL,CALIPER
MLTC,CALIPER
SA,CALIPER
TAC2,CALIPER
C3,CALIPER
CLS2,CALIPER
HHCA,CALIPER
MBTC,CALIPER
TACC,CALIPER
2DRH,DENSITY CORRECTION
DC,DENSITY CORRECTION
DCOR,DENSITY CORRECTION
DECR,DENSITY CORRECTION
DEPT,DEPTH
DEPTH,DEPTH
DRH,DENSITY CORRECTION
DRHO,DENSITY CORRECTION
HBDC,DENSITY CORRECTION
HDRA,DENSITY CORRECTION
HDRH,DENSITY CORRECTION
HHDRA,DENSITY CORRECTION
RHOC CDL,DENSITY CORRECTION
RHOC,FORMATION DENSITY
RPCL_DCOR,DENSITY CORRECTION
ZCOR,DENSITY CORRECTION
ZCOR2,DENSITY CORRECTION
ZCOR2QH,DENSITY CORRECTION
ZCORQH,DENSITY CORRECTION
HHDR,DENSITY CORRECTION
Z-COR,DENSITY CORRECTION
AC,SONIC TRAVEL TIME
ACCO,SONIC TRAVEL TIME
ACL,SONIC TRAVEL TIME
ACN,SONIC TRAVEL TIME
DT,SONIC TRAVEL TIME
DT24,SONIC TRAVEL TIME
DT24-A,SONIC TRAVEL TIME
DT24AQI,SONIC TRAVEL TIME
DT24QI,SONIC TRAVEL TIME
DT24SQA,SONIC TRAVEL TIME
DT34,SONIC TRAVEL TIME
DT35,SONIC TRAVEL TIME
DT41,SONIC TRAVEL TIME
DT4P,SONIC TRAVEL TIME
DT4P_C,SONIC TRAVEL TIME
DT5,SONIC TRAVEL TIME
DTC,SONIC TRAVEL TIME
DTC1,SONIC TRAVEL TIME
DTC2,SONIC TRAVEL TIME
DTCA,SONIC TRAVEL TIME
DTCM,SONIC TRAVEL TIME
DTCO,SONIC TRAVEL TIME
DTCR,SONIC TRAVEL TIME
DTCX,SONIC TRAVEL TIME
DTL,SONIC TRAVEL TIME
DTLF,SONIC TRAVEL TIME
DTMN,SONIC TRAVEL TIME
DTMX,SONIC TRAVEL TIME
DTP,SONIC TRAVEL TIME
DTSC,SONIC TRAVEL TIME
TTC,SONIC TRAVEL TIME
AC1,SONIC TRAVEL TIME
MSTT,SONIC TRAVEL TIME
VEL,SONIC TRAVEL TIME
D4S,SHEAR SONIC
DT4S,SHEAR SONIC
DTS,SHEAR SONIC
DTSD,SHEAR SONIC
DTSF,SHEAR SONIC
DTSS,SHEAR SONIC
SHSL,SHEAR SONIC
TTS,SHEAR SONIC
ACPD,SONIC POROSITY
ACPL,SONIC POROSITY
ACPS,SONIC POROSITY
PORA,SONIC POROSITY
RPHI,SONIC POROSITY
SPHI,SONIC POROSITY
SPSS,SONIC POROSITY
SPOR,SONIC POROSITY
TPHI,SONIC POROSITY
CGR,GAMMA RAY
ECGR,GAMMA RAY
EHGR,GAMMA RAY
G,GAMMA RAY
GAB,GAMMA RAY
GAM,GAMMA RAY
GAM1,GAMMA RAY
GAPI,GAMMA RAY
GGCE,GAMMA RAY
GR,GAMMA RAY
GR,GAMMA RAY
GR_AR,GAMMA RAY
GR_ARC_FILT,GAMMA RAY
GR_STGC,GAMMA RAY
GR1,GAMMA RAY
GR-1A,GAMMA RAY
GR2,GAMMA RAY
GR-5A,GAMMA RAY
GRA,GAMMA RAY
GR-A,GAMMA RAY
GRC,GAMMA RAY
GRCO,GAMMA RAY
GRDA,GAMMA RAY
GRDE,GAMMA RAY
GRDI,GAMMA RAY
GRG,GAMMA RAY
GRGC,GAMMA RAY
GRGM,GAMMA RAY
GRGS,GAMMA RAY
GRH,GAMMA RAY
GRHD,GAMMA RAY
GRI,GAMMA RAY
GR-I,GAMMA RAY
GRLL,GAMMA RAY
GRML,GAMMA RAY
GR-ML,GAMMA RAY
GRN,GAMMA RAY
GRNC,GAMMA RAY
GRNP,GAMMA RAY
GRP,GAMMA RAY
GRPD,GAMMA RAY
GRQH,GAMMA RAY
GRR,GAMMA RAY
GR-R,GAMMA RAY
GRSD,GAMMA RAY
GRSL,GAMMA RAY
GRZ,GAMMA RAY
GRZD,GAMMA RAY
HCGR,GAMMA RAY
HGR,GAMMA RAY
HGR_STGC,GAMMA RAY
HGR-1A,GAMMA RAY
HGR-5A,GAMMA RAY
HHGR,GAMMA RAY
HSGR,GAMMA RAY
MGR,GAMMA RAY
P01LGR,GAMMA RAY
P02LGR,GAMMA RAY
P03LGR,GAMMA RAY
RGR,GAMMA RAY
SGR,GAMMA RAY
SGRD,GAMMA RAY
GRS,GAMMA RAY
HEHG,GAMMA RAY
GCPS,GAMMA RAY
GRM1,GAMMA RAY
K,SPECTRAL GAMMA RAY
POTA,SPECTRAL GAMMA RAY
HPOT,SPECTRAL GAMMA RAY
KCPS,SPECTRAL GAMMA RAY
TH,SPECTRAL GAMMA RAY
HTHO,SPECTRAL GAMMA RAY
THOR,SPECTRAL GAMMA RAY
TCPS,SPECTRAL GAMMA RAY
HURA,SPECTRAL GAMMA RAY
U,SPECTRAL GAMMA RAY
URAN,SPECTRAL GAMMA RAY
UCPS,SPECTRAL GAMMA RAY
UZ,SPECTRAL GAMMA RAY
2DPS,DENSITY POROSITY
APSC,DENSITY POROSITY
APSU,DENSITY POROSITY
DDPP,DENSITY POROSITY
DEPO,DENSITY POROSITY
DNPH,DENSITY POROSITY
DPH8,DENSITY POROSITY
DPHI,DENSITY POROSITY
DPHI_,DENSITY POROSITY
DPHI_SAN,DENSITY POROSITY
DPHI_SLDT,DENSITY POROSITY
DPHI_SLDT_HR,DENSITY POROSITY
DPHIS,DENSITY POROSITY
DPHS,DENSITY POROSITY
DPHZ,DENSITY POROSITY
DPHZSS,DENSITY POROSITY
DPO,DENSITY POROSITY
DPOR,DENSITY POROSITY
DPRS,DENSITY POROSITY
DPS8,DENSITY POROSITY
DPSS,DENSITY POROSITY
DPSZ,DENSITY POROSITY
HDPH,DENSITY POROSITY
HDPH_SAN,DENSITY POROSITY
HDPH8,DENSITY POROSITY
HDPHI,DENSITY POROSITY
HDPO,DENSITY POROSITY
HDPSS,DENSITY POROSITY
HFSC,DENSITY POROSITY
NDPH,DENSITY POROSITY
PDS,DENSITY POROSITY
POD,DENSITY POROSITY
POR,DENSITY POROSITY
PORS,DENSITY POROSITY
PORZ,DENSITY POROSITY
PORZ2QH,DENSITY POROSITY
PORZQH,DENSITY POROSITY
PORZS2,DENSITY POROSITY
PORZS2QH,DENSITY POROSITY
PORZSS,DENSITY POROSITY
PORZSS2,DENSITY POROSITY
PORZSSQH,DENSITY POROSITY
PXND,DENSITY POROSITY
PZCSS,DENSITY POROSITY
PZCSSQH,DENSITY POROSITY
PZCSSS,DENSITY POROSITY
PZSS,DENSITY POROSITY
PZSS2,DENSITY POROSITY
PZSS2QH,DENSITY POROSITY
PZSSQH,DENSITY POROSITY
PZSSS,DENSITY POROSITY
RPSS,DENSITY POROSITY
SSD,DENSITY POROSITY
DPH,DENSITY POROSITY
DPS1,DENSITY POROSITY
2RHB,DENSITY POROSITY
CODE,DENSITY POROSITY
DEN,DENSITY POROSITY
DENB,DENSITY POROSITY
HDEN,DENSITY POROSITY
HNDP,DENSITY POROSITY
HRHO,DENSITY POROSITY
HRHOB,DENSITY POROSITY
HROM,DENSITY POROSITY
LRHO,DENSITY POROSITY
NRHB,DENSITY POROSITY
NRHO,DENSITY POROSITY
RHO8,DENSITY POROSITY
RHOB,BULK DENSITY
RHOB_SLDT,BULK DENSITY
RHOI,DENSITY POROSITY
RHOM,DENSITY POROSITY
RHOS,DENSITY POROSITY
RHOZ,DENSITY POROSITY
ZDEN,DENSITY POROSITY
ZDEN2,DENSITY POROSITY
ZDEN2QH,DENSITY POROSITY
ZDENQH,DENSITY POROSITY
ZDENS,DENSITY POROSITY
