,mnemonics,description,units,label
0,c1,caliper 1,in,caliper
1,c1,caliper 1,inch,caliper
2,c1,caliper 1,mm,caliper
3,c1,caliper 1,millimeter,caliper
4,c2,caliper 2,in,caliper
5,c2,caliper 2,inch,caliper
6,c2,caliper 2,mm,caliper
7,c2,caliper 2,millimeter,caliper
8,cal,calibration curve,none,caliper
9,cal1,caliper 1,in,caliper
10,cal1,caliper 1,inch,caliper
11,cal1,caliper 1,mm,caliper
12,cal1,caliper 1,millimeter,caliper
13,cal2,caliper 2,in,caliper
14,cal2,caliper 2,inch,caliper
15,cal2,caliper 2,mm,caliper
16,cal2,caliper 2,millimeter,caliper
17,cal3,caliper 3,in,caliper
18,cal3,caliper 3,inch,caliper
19,cal3,caliper 3,mm,caliper
20,cal3,caliper 3,millimeter,caliper
21,cala,calibration waveform amplitude,mv,caliper
22,cala,calibration waveform amplitude,megavolt,caliper
23,cala,calibration waveform amplitude,millivolt,caliper
24,cala,calibration waveform amplitude,uv,caliper
25,cala,calibration waveform amplitude,microvolt,caliper
26,cale,borehole diameter from electrical caliper,in,caliper
27,cale,borehole diameter from electrical caliper,inch,caliper
28,cale,borehole diameter from electrical caliper,mm,caliper
29,cale,borehole diameter from electrical caliper,millimeter,caliper
30,cali,caliper,in,caliper
31,cali,caliper,inch,caliper
32,cali,caliper,mm,caliper
33,cali,caliper,millimeter,caliper
34,cali_spcs,spcs fully calibrated caliper,in,caliper
35,cali_spcs,spcs fully calibrated caliper,inch,caliper
36,cali_spcs,spcs fully calibrated caliper,mm,caliper
37,cali_spcs,spcs fully calibrated caliper,millimeter,caliper
38,cals,micro resistivity caliper,in,caliper
39,cals,micro resistivity caliper,inch,caliper
40,cals,micro resistivity caliper,mm,caliper
41,cals,micro resistivity caliper,millimeter,caliper
42,calx,second caliper,in,caliper
43,calx,second caliper,inch,caliper
44,calx,second caliper,mm,caliper
45,calx,second caliper,millimeter,caliper
46,dcal,differential caliper,in,caliper
47,dcal,differential caliper,inch,caliper
48,dcal,differential caliper,mm,caliper
49,dcal,differential caliper,millimeter,caliper
50,hcal,hrcc caliper calibrated,in,caliper
51,hcal,hrcc caliper calibrated,inch,caliper
52,hcal,hrcc caliper calibrated,mm,caliper
53,hcal,hrcc caliper calibrated,millimeter,caliper
54,hd,hole diameter,in,caliper
55,hd,hole diameter,inch,caliper
56,hd,hole diameter,mm,caliper
57,hd,hole diameter,millimeter,caliper
58,hd1,hole diameter 1,in,caliper
59,hd1,hole diameter 1,inch,caliper
60,hd1,hole diameter 1,mm,caliper
61,hd1,hole diameter 1,millimeter,caliper
62,hd2,hole diameter 2,in,caliper
63,hd2,hole diameter 2,inch,caliper
64,hd2,hole diameter 2,mm,caliper
65,hd2,hole diameter 2,millimeter,caliper
66,hd3,hole diameter 3,in,caliper
67,hd3,hole diameter 3,inch,caliper
68,hd3,hole diameter 3,mm,caliper
69,hd3,hole diameter 3,millimeter,caliper
70,hdar,hole diameter from area,in,caliper
71,hdar,hole diameter from area,inch,caliper
72,hdar,hole diameter from area,mm,caliper
73,hdar,hole diameter from area,millimeter,caliper
74,hdia,hole diameter,in,caliper
75,hdia,hole diameter,inch,caliper
76,hdia,hole diameter,mm,caliper
77,hdia,hole diameter,millimeter,caliper
78,hdmi,hole diameter minimum,in,caliper
79,hdmi,hole diameter minimum,inch,caliper
80,hdmi,hole diameter minimum,mm,caliper
81,hdmi,hole diameter minimum,millimeter,caliper
82,hdmx,hole diameter maximum,in,caliper
83,hdmx,hole diameter maximum,inch,caliper
84,hdmx,hole diameter maximum,mm,caliper
85,hdmx,hole diameter maximum,millimeter,caliper
